transition,events,person_seconds,rate_per_second
D->I,2,1229508.0,1.626666926933375e-06
D->N,0,1229508.0,0.0
D->P,2,1229508.0,1.626666926933375e-06
N->D,5,8697323.0,5.748895378497499e-07
N->I,3,8697323.0,3.4493372270984993e-07
N->P,16,8697323.0,1.8396465211191996e-06
P->D,1,3508268.0,2.8504093757945516e-07
P->I,2,3508268.0,5.700818751589103e-07
P->N,2,3508268.0,5.700818751589103e-07
S->D,16,17306130.0,9.24527898496082e-07
S->I,188,17306130.0,1.0863202807328964e-05
S->N,214,17306130.0,1.2365560642385098e-05
S->P,64,17306130.0,3.698111593984328e-06
