time,S,D,P,N,R,I
0,482,0,0,0,0,0
0.0,481,0,0,0,0,1
62.0,480,0,0,0,0,2
192.0,479,1,0,0,0,2
309.0,479,1,0,0,0,2
1854.0,478,1,0,0,0,3
1957.0,477,1,0,1,0,3
1982.0,476,1,0,2,0,3
2012.0,475,1,0,3,0,3
2040.0,474,1,0,3,0,4
2197.0,473,1,1,3,0,4
2199.0,472,1,2,3,0,4
2270.0,471,1,2,4,0,4
2298.0,470,1,2,5,0,4
2323.0,469,1,2,6,0,4
2779.0,468,1,2,7,0,4
2853.0,467,1,2,8,0,4
2985.0,466,1,2,9,0,4
3005.0,465,1,2,10,0,4
3154.0,464,1,2,11,0,4
3231.0,463,1,3,11,0,4
3303.0,462,2,3,11,0,4
3430.0,461,2,3,12,0,4
3441.0,460,2,3,13,0,4
3636.0,459,3,3,13,0,4
3782.0,459,3,4,12,0,4
3793.0,458,3,4,13,0,4
3844.0,457,3,5,13,0,4
3890.0,456,3,5,14,0,4
3893.0,456,4,5,13,0,4
3957.0,456,4,5,13,0,4
3994.0,455,4,5,14,0,4
4065.0,454,4,5,15,0,4
4066.0,454,4,5,15,0,4
4083.0,453,4,5,15,0,5
4126.0,453,4,5,15,0,5
4145.0,453,4,6,14,0,5
4152.0,452,5,6,14,0,5
4271.0,451,5,6,15,0,5
4304.0,450,5,6,15,0,6
4347.0,449,5,6,16,0,6
4370.0,448,5,6,16,0,7
4415.0,447,5,6,17,0,7
4419.0,446,5,6,18,0,7
4444.0,445,5,6,18,0,8
4465.0,444,5,6,18,0,9
4470.0,444,5,6,18,0,9
4495.0,443,5,6,19,0,9
4526.0,442,5,6,20,0,9
4536.0,441,5,7,20,0,9
4566.0,440,5,7,21,0,9
4618.0,440,5,7,21,0,9
4629.0,439,5,7,22,0,9
4656.0,439,5,7,22,0,9
4821.0,439,5,7,22,0,9
4843.0,438,5,7,22,0,10
4965.0,438,6,6,22,0,10
4974.0,437,6,6,23,0,10
5145.0,436,6,6,24,0,10
5178.0,435,6,6,25,0,10
5216.0,434,6,7,25,0,10
5351.0,433,6,7,25,0,11
5388.0,432,6,7,26,0,11
5394.0,431,6,7,27,0,11
5414.0,430,6,8,27,0,11
5422.0,429,6,8,28,0,11
5433.0,428,6,8,29,0,11
5503.0,427,6,8,30,0,11
5572.0,426,6,8,31,0,11
5614.0,425,6,8,32,0,11
5698.0,424,6,8,33,0,11
5770.0,423,6,8,33,0,12
5947.0,422,6,9,33,0,12
6009.0,421,6,9,34,0,12
6044.0,420,6,9,34,0,13
6125.0,419,6,9,34,0,14
6302.0,418,6,10,34,0,14
6339.0,417,7,10,34,0,14
6404.0,416,7,10,34,0,15
6466.0,415,7,11,34,0,15
6614.0,414,7,11,35,0,15
6665.0,413,7,11,35,0,16
6676.0,412,7,11,36,0,16
6964.0,411,7,11,37,0,16
6995.0,410,7,11,38,0,16
7204.0,409,7,12,38,0,16
7218.0,408,7,12,38,0,17
7752.0,407,7,12,38,0,18
7796.0,406,7,12,39,0,18
7826.0,405,7,13,39,0,18
7944.0,405,8,13,38,0,18
8033.0,404,8,13,39,0,18
8062.0,403,8,13,40,0,18
8094.0,402,8,13,41,0,18
8103.0,401,8,13,42,0,18
8219.0,400,8,13,42,0,19
8235.0,399,8,13,43,0,19
8292.0,398,8,13,44,0,19
8327.0,398,8,13,44,0,19
8347.0,397,8,13,45,0,19
8375.0,396,8,13,46,0,19
8389.0,395,8,13,47,0,19
8390.0,394,8,14,47,0,19
8392.0,394,8,13,48,0,19
8399.0,394,8,13,48,0,19
8425.0,393,8,13,49,0,19
8501.0,392,8,14,49,0,19
8504.0,391,8,14,50,0,19
8563.0,391,8,14,50,0,19
8598.0,390,8,14,51,0,19
8608.0,389,8,14,52,0,19
8651.0,388,8,14,53,0,19
8659.0,387,8,14,53,0,20
8686.0,386,8,14,54,0,20
8734.0,385,8,14,55,0,20
8749.0,384,8,14,56,0,20
8756.0,383,8,15,56,0,20
8756.0,382,9,15,56,0,20
8764.0,381,9,15,56,0,21
8797.0,380,9,15,57,0,21
8800.0,379,9,15,57,0,22
8802.0,378,9,15,57,0,23
8828.0,378,9,15,57,0,23
8835.0,377,9,15,58,0,23
8904.0,376,9,15,59,0,23
8946.0,376,9,16,58,0,23
8970.0,375,9,16,59,0,23
9011.0,375,9,16,59,0,23
9029.0,375,9,16,59,0,23
9071.0,374,9,16,60,0,23
9108.0,374,9,16,60,0,23
9175.0,373,9,16,61,0,23
9246.0,372,9,16,62,0,23
9258.0,372,9,16,62,0,23
9407.0,371,9,16,63,0,23
9469.0,370,9,16,63,0,24
9574.0,369,9,16,64,0,24
9654.0,368,9,16,65,0,24
9810.0,367,9,16,66,0,24
9820.0,366,9,17,66,0,24
9864.0,365,9,17,67,0,24
9930.0,364,9,17,68,0,24
9938.0,363,9,17,68,0,25
10054.0,362,9,17,68,0,26
10109.0,361,9,17,69,0,26
10117.0,360,9,17,70,0,26
10273.0,360,9,18,69,0,26
10275.0,359,9,18,70,0,26
10282.0,358,9,18,70,0,27
10573.0,357,9,18,71,0,27
10610.0,356,9,18,72,0,27
10610.0,355,9,18,73,0,27
10617.0,354,9,19,73,0,27
10625.0,353,9,19,74,0,27
10647.0,352,9,19,75,0,27
10648.0,351,9,19,75,0,28
10685.0,350,9,19,75,0,29
10735.0,349,9,19,76,0,29
10736.0,348,9,19,77,0,29
10788.0,348,9,19,77,0,29
10790.0,347,9,19,78,0,29
10862.0,346,9,19,79,0,29
10895.0,345,9,19,79,0,30
10895.0,344,9,19,80,0,30
10955.0,344,10,19,79,0,30
11022.0,343,11,19,79,0,30
11102.0,342,11,19,79,0,31
11173.0,341,11,20,79,0,31
11198.0,340,11,20,80,0,31
11207.0,339,11,20,80,0,32
11221.0,339,10,20,80,0,33
11263.0,338,10,20,80,0,34
11287.0,338,10,20,80,0,34
11335.0,337,10,20,80,0,35
11344.0,336,10,20,81,0,35
11348.0,335,10,20,82,0,35
11383.0,334,10,20,83,0,35
11532.0,333,10,20,83,0,36
11538.0,332,10,20,83,0,37
11564.0,332,10,20,83,0,37
11597.0,331,10,20,84,0,37
11673.0,330,10,20,85,0,37
11714.0,329,10,20,86,0,37
11728.0,328,10,20,87,0,37
11806.0,328,10,21,86,0,37
11865.0,327,10,22,86,0,37
11912.0,326,10,22,87,0,37
11932.0,325,10,22,88,0,37
11935.0,324,10,22,89,0,37
11975.0,323,10,22,89,0,38
12000.0,322,10,22,90,0,38
12026.0,321,10,23,90,0,38
12027.0,320,10,23,90,0,39
12057.0,319,10,23,91,0,39
12122.0,318,11,23,91,0,39
12141.0,317,11,23,92,0,39
12282.0,316,11,23,93,0,39
12411.0,316,11,22,94,0,39
12429.0,315,11,22,95,0,39
12451.0,314,11,22,95,0,40
12477.0,313,12,22,95,0,40
12517.0,312,12,22,95,0,41
12603.0,312,12,22,95,0,41
12651.0,311,12,22,95,0,42
12846.0,310,12,23,95,0,42
12975.0,309,12,23,95,0,43
12983.0,308,12,23,96,0,43
13051.0,307,12,23,96,0,44
13083.0,306,12,23,97,0,44
13083.0,305,12,23,97,0,45
13093.0,304,12,23,98,0,45
13102.0,304,12,24,97,0,45
13122.0,303,12,24,98,0,45
13162.0,302,12,24,99,0,45
13167.0,301,12,25,99,0,45
13180.0,300,12,25,99,0,46
13185.0,300,12,25,99,0,46
13233.0,300,12,24,99,0,47
13253.0,299,12,25,99,0,47
13300.0,299,12,25,99,0,47
13420.0,299,12,25,99,0,47
13485.0,298,12,25,99,0,48
13510.0,298,12,25,99,0,48
13538.0,297,12,25,99,0,49
13573.0,296,12,25,99,0,50
13691.0,295,12,25,100,0,50
13799.0,294,12,25,100,0,51
13860.0,294,12,25,100,0,51
13942.0,293,12,25,101,0,51
14021.0,292,13,25,101,0,51
14216.0,291,13,25,102,0,51
14220.0,290,13,25,102,0,52
14226.0,289,13,25,103,0,52
14281.0,288,13,26,103,0,52
14304.0,287,13,26,104,0,52
14342.0,286,13,26,105,0,52
14400.0,286,13,26,105,0,52
14508.0,285,13,26,106,0,52
14544.0,284,13,26,107,0,52
14723.0,283,13,26,107,0,53
14888.0,282,13,26,108,0,53
14890.0,281,13,26,108,0,54
14978.0,280,13,27,108,0,54
15020.0,279,13,27,108,0,55
15022.0,278,13,27,108,0,56
15103.0,277,13,28,108,0,56
15109.0,277,13,29,107,0,56
15118.0,277,13,29,106,0,57
15314.0,276,13,29,107,0,57
15327.0,276,13,29,107,0,57
15350.0,275,13,29,107,0,58
15374.0,274,13,29,108,0,58
15570.0,274,13,29,108,0,58
15576.0,273,13,29,109,0,58
15610.0,272,13,29,109,0,59
15642.0,271,13,29,109,0,60
15665.0,271,13,29,109,0,60
15861.0,271,13,29,109,0,60
15945.0,270,13,29,109,0,61
